"year","iso3c","country","region","rank","eci.value","gdp_real","gdp_nominal","population","gdpr_pc","gdpn_pc"
1995,"tto","Trinidad and Tobago","CARICOM",67,-0.183422,7527451.4997864,5329201.0835947,1255.001,5997.96454328435,4246.37198185077
1995,"pry","Paraguay","MERCOSUR",69,-0.226272,6775071.686671,8065636.9886013,4801.834,1410.93417362429,1679.69925420189
1995,"cub","Cuba","OTROS LAC",70,-0.24217,26731660.1006193,30428508.8208511,10932.013,2445.26420711531,2783.43145227243
1995,"omn","Oman","ARAB LEAGUE",71,-0.252858,22776569.4677881,13650077.2675568,2154.6,10571.1359267558,6335.31851274334
1995,"phl","Philippines","ASEAN",73,-0.29849,69128895.0459611,82121271.7147805,69606.539,993.137944208964,1179.79248637517
1995,"idn","Indonesia","ASEAN",75,-0.339011,218808658.951964,222081511.608199,NA,NA,NA
1995,"egy","Egypt","ARAB LEAGUE",76,-0.340367,61117070.6054102,65758036.43369,61168.397,999.160900119881,1075.03285452601
1995,"mar","Morocco","ARAB LEAGUE",79,-0.515124,38693870.5921395,36857136.3527725,26833.093,1442.02051519515,1373.57017891201
1995,"qat","Qatar","ARAB LEAGUE",80,-0.515266,17694385.4199037,8137912.0879121,501.154,35307.2816337966,16238.3460730875
1995,"dom","Dominican Republic","SICA",81,-0.558935,20136630.2736339,15519538.7336503,7977.966,2524.03059547182,1945.30018474011
1995,"bol","Bolivia","CAN",85,-0.617126,6924984.8709874,6715147.012105,7635.362,906.962220126223,879.479848120495
1995,"jam","Jamaica","CARICOM",88,-0.668668,10425707.3312815,6544330.2740539,2462.051,4234.56188814996,2658.08071159123
1995,"cri","Costa Rica","SICA",89,-0.67634,12846407.3258476,11715889.1851165,3478.197,3693.40992642096,3368.37999259861
1995,"nic","Nicaragua","SICA",92,-0.752414,4235889.404512,4131858.0696234,4659.458,909.094878527073,886.76796091378
1995,"ecu","Ecuador","CAN",95,-0.843202,30580515.2824686,22720400.176,11315.8,2702.46162732362,2007.847450114
1995,"lby","Libya","ARAB LEAGUE",96,-0.845834,32934707.3078452,28292444.6170693,4747.619,6937.09990372968,5959.29130308673
1995,"kwt","Kuwait","ARAB LEAGUE",97,-0.883835,51471662.2492495,27187119.9999252,1586.123,32451.2425891621,17140.6126762711
1995,"sdn","Sudan","ARAB LEAGUE",99,-0.901576,17707106.4833625,12847187.343205,NA,NA,NA
1995,"gtm","Guatemala","SICA",100,-0.907395,19313325.0679484,13065576.9992905,9983.861,1934.45452294943,1308.66976205804
1995,"syr","Syria","ARAB LEAGUE",101,-0.941207,18569500.9641855,13521033.9857065,14338.24,1295.10323192983,943.005137709126
1995,"hnd","Honduras","SICA",103,-0.971416,6694405.0974231,4724469.8377079,5591.935,1197.15359663928,844.872094848724
1995,"khm","Cambodia","ASEAN",105,-1.03773,2851487.044799,3309356.0013601,10769.198,264.781745567219,307.298278048198
1995,"slv","El Salvador","SICA",109,-1.06759,13092510.176083,9500500,5748.013,2277.74540107738,1652.83203082526
1995,"yem","Yemen","ARAB LEAGUE",114,-1.1945,9843363.9227445,5927078.0491085,15018.201,655.428964011369,394.659656579939
1995,"mrt","Mauritania","ARAB LEAGUE",122,-1.557,1504200.2302071,1680792.5384981,2334.388,644.365988090712,720.014212932083
1996,"sgp","Singapore","ASEAN",21,1.08661,80822339.6153864,95179938.6424388,3570.085,22638.7717982587,26660.412467053
1996,"mex","Mexico","AP",27,0.776578,659702949.301551,397401606.855655,97201.533,6786.9603383884,4088.42941659835
1996,"bra","Brazil","MERCOSUR",32,0.647423,710988083.857236,839683613.570789,164392.423,4324.94436715758,5107.79997184413
1996,"mys","Malaysia","ASEAN",39,0.502035,99124431.159971,108960347.419307,21259.831,4662.522066143,5125.17467421575
1996,"ury","Uruguay","MERCOSUR",41,0.429767,16312727.9874666,22657097.697811,3247.585,5023.03341943832,6976.59882583858
1996,"jor","Jordan","ARAB LEAGUE",50,0.261709,8058529.5507937,6928363.8928068,4450.852,1810.55886621117,1556.63767135074
1996,"arg","Argentina","MERCOSUR",52,0.239445,154260316.396683,272241681.567529,35264.07,4374.43313822491,7720.08680698311
1996,"sau","Saudi Arabia","ARAB LEAGUE",54,0.216431,235518452.462266,157532778.6576,18848.35,12495.4413761558,8357.90818069486
1996,"tha","Thailand","ASEAN",56,0.183915,147434335.649127,182738229.626545,59562.136,2475.30302890963,3068.02680190222
1996,"col","Colombia","AP",58,0.139072,119633697.368738,115830061.208961,37236.124,3212.83969751358,3110.69060810306
1996,"lbn","Lebanon","ARAB LEAGUE",60,0.10608,17775605.6500636,12991961.4282616,3070.984,5788.24430542901,4230.55327812245
1996,"chl","Chile","AP",63,0.0441125,86454424.1562649,77972157.0077814,14662.323,5896.3660912575,5317.85836444753
1996,"are","United Arab Emirates","ARAB LEAGUE",64,0.0089077,107580782.767691,73571223.6251703,2470.81,43540.6942531765,29776.1558457228
1996,"tun","Tunisia","ARAB LEAGUE",65,-0.0189277,21278571.3785995,21504388.9765343,9116.617,2334.04248292974,2358.81237267446
1996,"ven","Venezuela","MERCOSUR",66,-0.039321,123329672.11103,68255644.9191326,22556.838,5467.50710853312,3025.94028999688
1996,"tto","Trinidad and Tobago","CARICOM",67,-0.15813,8057625.0043099,5759637.1063931,1258.365,6403.24945807449,4577.07986664688
1996,"omn","Oman","ARAB LEAGUE",68,-0.163898,23435936.7068533,15108709.1483577,2175.998,10770.2014003934,6943.34698302007
1996,"phl","Philippines","ASEAN",69,-0.198611,73170082.782768,91790470.4304988,71184.718,1027.89032307142,1289.46876533948
1996,"pan","Panama","SICA",70,-0.199957,10267322.8309949,9322100,2814.525,3647.97712970924,3312.13970385767
1996,"per","Peru","AP",71,-0.226513,58623010.8552366,55875605.298913,24365.985,2405.93642552257,2293.18064912676
1996,"idn","Indonesia","ASEAN",72,-0.277266,235915155.974717,249811405.868047,NA,NA,NA
1996,"kwt","Kuwait","ARAB LEAGUE",73,-0.299429,50080536.2428964,31492085.2464151,1585.244,31591.6895083006,19865.7652994839
1996,"qat","Qatar","ARAB LEAGUE",78,-0.429485,18468322.0151478,9059340.6593407,512.476,36037.4378803062,17677.5900907373
1996,"pry","Paraguay","MERCOSUR",79,-0.443279,6803260.6506471,8753353.6938644,4911.701,1385.11294776435,1782.14302822269
1996,"mar","Morocco","ARAB LEAGUE",81,-0.476291,43421194.300468,40939596.2279943,27237.15,1594.19007864141,1503.07929530051
1996,"egy","Egypt","ARAB LEAGUE",82,-0.491704,64244831.1945683,73961364.0549612,62123.592,1034.14546915717,1190.55195737814
1996,"lby","Libya","ARAB LEAGUE",83,-0.498525,33637574.5331455,31284185.6477194,4837.354,6953.71364864872,6467.21030706444
1996,"dom","Dominican Republic","SICA",84,-0.520658,21572646.4426249,16975693.1546629,8118.57,2657.19781225325,2090.97084273005
1996,"bol","Bolivia","CAN",85,-0.548286,7227158.8188352,7396948.36857,7806.953,925.73361448893,947.482118640909
1996,"cri","Costa Rica","SICA",86,-0.579194,12960306.117542,11844416.3481437,3566.605,3633.79351443235,3320.92181448288
1996,"cub","Cuba","OTROS LAC",90,-0.667746,28827088.1199103,25017300,10980.758,2625.2366293757,2278.28534241443
1996,"ecu","Ecuador","CAN",94,-0.867257,31315068.1127431,23926781.875,11557.151,2709.58371252077,2070.30105213646
1996,"khm","Cambodia","ASEAN",95,-0.927341,2982660.6366672,3506718.1257189,11090.611,268.935646256748,316.188001339052
1996,"gtm","Guatemala","SICA",96,-0.95918,19881635.8295701,14070108.8454648,10214.623,1946.38958575075,1377.44768901063
1996,"syr","Syria","ARAB LEAGUE",97,-0.973641,20394084.7192425,15133366.5635119,14746.306,1382.9961699725,1026.24796769522
1996,"hnd","Honduras","SICA",100,-1.01081,6933957.6546272,4867936.8186341,5723.639,1211.45964213103,850.496828789185
1996,"jam","Jamaica","CARICOM",101,-1.04148,10458414.6716826,7367727.4781421,2485.23,4208.22808017069,2964.6058828125
1996,"mrt","Mauritania","ARAB LEAGUE",102,-1.05362,1663005.4938519,1700326.8271677,2403.805,691.822129437246,707.34806990072
1996,"yem","Yemen","ARAB LEAGUE",106,-1.07062,11863748.8969755,7280156.4320413,15578.64,761.539447408471,467.31655857259
1996,"slv","El Salvador","SICA",107,-1.11313,13315814.600498,10315500,5806.75,2293.16133818367,1776.46704266586
1996,"nic","Nicaragua","SICA",112,-1.14855,4504678.870327,4308096.5500563,4756.631,947.031390563405,905.703332895972
1996,"sdn","Sudan","ARAB LEAGUE",115,-1.24338,18755212.2181421,8377204.0182551,NA,NA,NA
1997,"sgp","Singapore","ASEAN",23,1.01931,87698281.2098672,99296148.1495616,3653.156,24006.1692437627,27180.921961603
1997,"bra","Brazil","MERCOSUR",27,0.812385,734985740.820748,871200612.249631,166925.457,4403.07760140353,5219.09975810119
1997,"mex","Mexico","AP",30,0.705636,705637348.361791,480557072.082198,98968.558,7129.91441546305,4855.65397529787
1997,"ury","Uruguay","MERCOSUR",42,0.393172,17117112.5785788,23969738.3892606,3270.549,5233.71231514305,7328.96476685125
1997,"mys","Malaysia","ASEAN",44,0.367355,106383057.368561,108225078.304654,21805.835,4878.65093763027,4963.12470055166
1997,"arg","Argentina","MERCOSUR",46,0.35764,166772460.175567,293005382.691346,35690.778,4672.7045338033,8209.55437540045
1997,"col","Colombia","AP",53,0.189693,123737484.526681,127185005.956716,37901.358,3264.72430161159,3355.68466852074
1997,"tha","Thailand","ASEAN",57,0.140377,143366381.87592,149919042.817631,60206.941,2381.22680698759,2490.06244674731
1997,"ven","Venezuela","MERCOSUR",58,0.122707,131186921.064713,85837678.559247,23020.184,5698.77812726054,3728.80071502673
1997,"lbn","Lebanon","ARAB LEAGUE",60,0.0414658,17195782.5411989,15595180.0967878,3092.718,5560.08745097319,5042.54836580244
1997,"chl","Chile","AP",61,0.0387474,92165239.9899213,85219197.2553954,14872.458,6197.04153744602,5730.00086841028
1997,"jor","Jordan","ARAB LEAGUE",62,0.0094072,8325555.5752344,7245952.045134,4551.911,1829.024243935,1591.84835668668
1997,"tto","Trinidad and Tobago","CARICOM",63,0.0077954,8677426.0901471,5737819.204283,1260.677,6883.1477770651,4551.3793019806
1997,"tun","Tunisia","ARAB LEAGUE",65,-0.0667485,22435989.5663496,20746659.1791062,9237.249,2428.86053697909,2245.97812390964
1997,"are","United Arab Emirates","ARAB LEAGUE",66,-0.0876165,116887468.218763,78836209.1326228,2608.993,44801.7561636858,30217.1025880954
1997,"egy","Egypt","ARAB LEAGUE",67,-0.204289,67772599.3563602,81571756.0416083,63094.069,1074.15166640085,1292.85933423644
1997,"lby","Libya","ARAB LEAGUE",68,-0.205129,35390990.6349762,33193980.3529677,4924.347,7186.94085428509,6740.78824115516
1997,"sau","Saudi Arabia","ARAB LEAGUE",69,-0.212092,241624871.552043,164773904.913067,19060.85,12676.5003424319,8644.62523513207
1997,"phl","Philippines","ASEAN",70,-0.249567,76964216.6516893,91233724.3994267,72780.928,1057.47781412858,1253.53889963352
1997,"idn","Indonesia","ASEAN",71,-0.278167,247002309.702479,237043506.12532,NA,NA,NA
1997,"pry","Paraguay","MERCOSUR",72,-0.30951,7006415.5979232,8872001.7907467,5021.271,1395.34703423161,1766.88368159112
1997,"pan","Panama","SICA",76,-0.388711,10930693.5887757,10084000,2873.288,3804.24572433244,3509.56813239745
1997,"per","Peru","AP",79,-0.46094,62646930.1114847,59130388.8645605,24789.855,2527.11966695589,2385.26562033382
1997,"omn","Oman","ARAB LEAGUE",80,-0.512492,24883516.9140816,15662333.3298093,2177.723,11426.3921141861,7192.0686560271
1997,"mar","Morocco","ARAB LEAGUE",81,-0.569965,42453825.3169405,37336584.7365342,27632.321,1536.38289439894,1351.19249434509
1997,"cri","Costa Rica","SICA",84,-0.616114,13683256.2327706,12829113.9779791,3658.02,3740.61821224887,3507.11969261488
1997,"dom","Dominican Republic","SICA",86,-0.658498,23299379.2454917,19236919.9062772,8256.496,2821.94519872494,2329.91330780966
1997,"kwt","Kuwait","ARAB LEAGUE",87,-0.662303,51332242.8604049,30351196.173211,1635.999,31376.6957439491,18552.0872404023
1997,"bol","Bolivia","CAN",88,-0.707996,7585207.3591049,7925736.3159723,7978.521,950.703439786008,993.384151771024
1997,"ecu","Ecuador","CAN",91,-0.764012,32583621.7461162,26590483.288,11799.289,2761.4902682794,2253.56657405374
1997,"slv","El Salvador","SICA",93,-0.820908,13881249.6950799,11134600,5855.226,2370.7453299121,1901.65161857117
1997,"gtm","Guatemala","SICA",95,-0.84376,20736412.1782698,15855175.0529895,10449.636,1984.41478519154,1517.29448307955
1997,"qat","Qatar","ARAB LEAGUE",96,-0.844711,24011042.1632003,11297802.1978022,529.491,45347.4037579492,21337.0995877214
1997,"cub","Cuba","OTROS LAC",98,-0.900767,29629923.6804694,25366200,11024.249,2687.70450308855,2300.94585127749
1997,"syr","Syria","ARAB LEAGUE",99,-0.926928,21418666.9831389,16175549.0365274,15168.523,1412.04697274342,1066.38919534403
1997,"sdn","Sudan","ARAB LEAGUE",105,-1.07093,19891298.9077564,10241121.4110173,NA,NA,NA
1997,"nic","Nicaragua","SICA",106,-1.08014,4683363.6931845,4389973.3500093,4849.272,965.78696620534,905.28503041473
1997,"hnd","Honduras","SICA",107,-1.10129,7280219.987235,5625881.5915926,5852.719,1243.90389957813,961.242388638956
1997,"khm","Cambodia","ASEAN",108,-1.1105,3150279.9880864,3443471.8259303,11395.958,276.438364206537,302.166068524498
1997,"jam","Jamaica","CARICOM",109,-1.11242,10355473.598749,8413237.918097,2509.439,4126.60901450444,3352.63695116598
1997,"yem","Yemen","ARAB LEAGUE",110,-1.14612,12484325.3229009,7796848.6132979,16088.019,776.001403460606,484.63695954722
1997,"mrt","Mauritania","ARAB LEAGUE",123,-1.63696,1595743.8225478,1652408.2691698,2475.726,644.555909073864,667.443921164862
1998,"sgp","Singapore","ASEAN",19,1.24449,85794949.8241856,85013120.4059907,3735.537,22967.2333118868,22757.9382578705
1998,"mex","Mexico","AP",27,0.797012,738815296.398734,502007957.767925,100678.867,7338.33542642801,4986.22970963633
1998,"bra","Brazil","MERCOSUR",30,0.67393,735245567.308094,843827605.52053,169472.347,4338.43975328963,4979.146276416
1998,"mys","Malaysia","ASEAN",37,0.492737,98553886.4834273,77979892.6894091,22355.057,4408.57236389186,3488.2439659809
1998,"ury","Uruguay","MERCOSUR",40,0.432805,17890616.0829051,25385887.7932247,3291.677,5435.10681118017,7712.14423323573
1998,"jor","Jordan","ARAB LEAGUE",41,0.426885,8576329.2940878,7912411.8476728,4630.762,1852.03413478987,1708.66303378856
1998,"arg","Argentina","MERCOSUR",45,0.3827,173193506.427856,299097908.954477,36109.342,4796.36284781528,8283.11712117261
1998,"col","Colombia","AP",48,0.270366,124442521.0267,117458362.827313,38568.056,3226.5697038684,3045.48310206024
